Supplementary Table 12. Country-specific cumulative absolute risk for PGS strata across 19 phenotypes.,,,,,,,,,,,,
,,,,,,,,,,,,
Phenotype,Country,Sex,Study,Optimal Model,PGS Strata,Age,"Cumulative Absolute Risk 
(%)","Cumulative Absolute Risk  
Lower Confidence Interval
(%)","Cumulative Absolute Risk  
Upper Confidence Interval
(%)",,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,65,52.80,43.50,62.32,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,70,57.86,49.22,66.71,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,75,60.42,51.91,68.64,,,
Type 2 Diabetes,Massachusetts (USA),Females,Mass General Brigham,Age and Sex,> 95%,80,61.27,52.83,69.46,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,< 20%,5,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,< 20%,10,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,< 20%,15,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,< 20%,20,0.08,0.02,0.22,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,< 20%,25,0.21,0.10,0.50,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,< 20%,30,0.39,0.21,0.75,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,< 20%,35,0.60,0.36,1.12,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,< 20%,40,0.85,0.54,1.48,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,< 20%,45,1.19,0.79,1.98,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,< 20%,50,1.68,1.14,2.77,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,< 20%,55,2.40,1.71,3.73,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,< 20%,60,3.47,2.61,5.00,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,< 20%,65,4.84,3.84,6.53,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,< 20%,70,6.43,5.26,8.30,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,< 20%,75,7.86,6.57,9.99,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,< 20%,80,8.68,7.29,10.92,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,20-40%,5,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,20-40%,10,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,20-40%,15,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,20-40%,20,0.14,0.05,0.30,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,20-40%,25,0.40,0.21,0.72,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,20-40%,30,0.73,0.44,1.18,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,20-40%,35,1.13,0.71,1.78,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,20-40%,40,1.59,1.06,2.42,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,20-40%,45,2.23,1.57,3.19,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,20-40%,50,3.13,2.22,4.46,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,20-40%,55,4.44,3.25,6.27,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,20-40%,60,6.28,4.74,8.25,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,20-40%,65,8.55,6.97,10.69,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,20-40%,70,11.08,9.22,13.49,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,20-40%,75,13.26,11.20,15.96,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,20-40%,80,14.46,12.27,17.20,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,40-60%,5,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,40-60%,10,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,40-60%,15,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,40-60%,20,0.26,0.12,0.40,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,40-60%,25,0.72,0.45,0.97,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,40-60%,30,1.31,0.92,1.64,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,40-60%,35,2.01,1.48,2.44,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,40-60%,40,2.84,2.15,3.34,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,40-60%,45,3.97,3.14,4.52,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,40-60%,50,5.55,4.40,6.19,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,40-60%,55,7.78,6.41,8.61,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,40-60%,60,10.81,9.10,11.88,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,40-60%,65,14.40,12.50,15.72,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,40-60%,70,18.22,16.06,19.99,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,40-60%,75,21.38,18.99,23.28,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,40-60%,80,23.07,20.65,24.88,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,60-80%,5,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,60-80%,10,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,60-80%,15,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,60-80%,20,0.47,0.20,0.84,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,60-80%,25,1.32,0.77,2.01,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,60-80%,30,2.40,1.54,3.37,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,60-80%,35,3.68,2.45,4.93,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,60-80%,40,5.18,3.66,6.78,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,60-80%,45,7.20,5.34,9.03,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,60-80%,50,10.00,7.64,12.38,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,60-80%,55,13.65,10.79,16.25,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,60-80%,60,18.13,14.91,21.04,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,60-80%,65,22.91,19.28,26.10,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,60-80%,70,27.50,23.73,30.88,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,60-80%,75,30.94,27.03,34.58,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,60-80%,80,32.68,28.90,36.16,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,80-90%,5,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,80-90%,10,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,80-90%,15,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,80-90%,20,0.80,0.33,1.46,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,80-90%,25,2.21,1.22,3.44,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,80-90%,30,4.00,2.48,5.71,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,80-90%,35,6.09,4.05,8.27,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,80-90%,40,8.54,5.99,11.33,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,80-90%,45,11.78,8.65,15.15,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,80-90%,50,16.20,12.19,20.16,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,80-90%,55,21.67,17.12,26.48,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,80-90%,60,27.93,22.73,33.05,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,80-90%,65,34.16,29.17,38.96,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,80-90%,70,39.74,34.58,44.47,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,80-90%,75,43.65,38.47,48.33,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,80-90%,80,45.55,40.51,50.47,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,90-95%,5,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,90-95%,10,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,90-95%,15,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,90-95%,20,1.47,0.62,2.97,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,90-95%,25,4.07,2.14,6.52,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,90-95%,30,7.31,4.39,10.62,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,90-95%,35,11.03,7.03,15.64,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,90-95%,40,15.29,10.52,20.77,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,90-95%,45,20.80,15.09,27.47,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,90-95%,50,28.00,20.72,35.68,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,90-95%,55,35.38,28.08,43.24,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,90-95%,60,42.07,34.53,49.96,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,90-95%,65,47.44,40.50,54.79,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,90-95%,70,51.39,44.47,58.77,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,90-95%,75,53.70,47.12,60.89,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,90-95%,80,54.71,48.17,61.98,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,> 95%,5,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,> 95%,10,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,> 95%,15,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,> 95%,20,1.25,0.46,2.54,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,> 95%,25,3.46,1.80,6.01,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,> 95%,30,6.23,3.80,9.52,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,> 95%,35,9.43,6.35,13.65,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,> 95%,40,13.12,9.19,18.17,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,> 95%,45,17.93,13.15,24.16,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,> 95%,50,24.30,18.11,31.93,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,> 95%,55,31.44,24.51,39.71,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,> 95%,60,38.66,31.45,46.70,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,> 95%,65,45.05,37.64,52.46,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,> 95%,70,50.17,43.19,57.07,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,> 95%,75,53.43,46.73,59.95,,,
Type 2 Diabetes,Norway,Males,HUNT,Age and Sex,> 95%,80,54.92,48.26,61.80,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,< 20%,5,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,< 20%,10,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,< 20%,15,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,< 20%,20,0.08,0.02,0.23,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,< 20%,25,0.19,0.08,0.46,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,< 20%,30,0.31,0.15,0.64,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,< 20%,35,0.45,0.24,0.90,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,< 20%,40,0.64,0.38,1.22,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,< 20%,45,0.92,0.56,1.76,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,< 20%,50,1.32,0.86,2.42,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,< 20%,55,1.91,1.31,3.25,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,< 20%,60,2.79,2.00,4.36,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,< 20%,65,3.92,2.93,5.70,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,< 20%,70,5.27,4.12,7.18,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,< 20%,75,6.53,5.20,8.58,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,< 20%,80,7.33,5.92,9.47,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,20-40%,5,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,20-40%,10,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,20-40%,15,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,20-40%,20,0.19,0.06,0.44,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,20-40%,25,0.45,0.21,0.87,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,20-40%,30,0.72,0.40,1.23,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,20-40%,35,1.05,0.67,1.70,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,20-40%,40,1.50,1.01,2.44,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,20-40%,45,2.15,1.46,3.29,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,20-40%,50,3.06,2.14,4.50,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,20-40%,55,4.40,3.16,6.40,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,20-40%,60,6.31,4.77,8.46,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,20-40%,65,8.69,6.88,11.19,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,20-40%,70,11.42,9.30,14.00,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,20-40%,75,13.86,11.55,16.73,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,20-40%,80,15.37,13.12,18.33,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,40-60%,5,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,40-60%,10,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,40-60%,15,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,40-60%,20,0.26,0.12,0.39,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,40-60%,25,0.62,0.39,0.84,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,40-60%,30,0.99,0.65,1.26,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,40-60%,35,1.45,1.02,1.77,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,40-60%,40,2.08,1.55,2.50,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,40-60%,45,2.98,2.32,3.45,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,40-60%,50,4.23,3.30,4.86,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,40-60%,55,6.06,4.87,6.82,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,40-60%,60,8.67,7.20,9.70,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,40-60%,65,11.89,10.21,13.04,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,40-60%,70,15.55,13.44,16.96,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,40-60%,75,18.78,16.48,20.51,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,40-60%,80,20.78,18.36,22.47,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,60-80%,5,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,60-80%,10,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,60-80%,15,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,60-80%,20,0.51,0.20,0.92,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,60-80%,25,1.23,0.66,2.01,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,60-80%,30,1.95,1.20,2.89,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,60-80%,35,2.85,1.90,4.05,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,60-80%,40,4.07,2.86,5.50,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,60-80%,45,5.79,4.11,7.57,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,60-80%,50,8.16,6.20,10.44,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,60-80%,55,11.33,8.84,14.01,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,60-80%,60,15.36,12.43,18.50,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,60-80%,65,19.85,16.66,23.13,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,60-80%,70,24.40,21.02,27.69,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,60-80%,75,28.04,24.41,31.42,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,60-80%,80,30.15,26.46,33.70,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,80-90%,5,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,80-90%,10,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,80-90%,15,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,80-90%,20,0.76,0.32,1.52,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,80-90%,25,1.84,0.95,3.10,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,80-90%,30,2.92,1.80,4.57,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,80-90%,35,4.26,2.81,6.24,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,80-90%,40,6.07,4.10,8.53,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,80-90%,45,8.59,6.09,11.60,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,80-90%,50,12.05,8.70,16.57,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,80-90%,55,16.40,12.27,21.07,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,80-90%,60,21.61,17.14,26.78,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,80-90%,65,27.07,22.39,32.12,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,80-90%,70,32.29,27.59,37.37,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,80-90%,75,36.22,31.45,41.35,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,80-90%,80,38.41,33.64,43.41,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,90-95%,5,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,90-95%,10,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,90-95%,15,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,90-95%,20,1.07,0.41,2.15,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,90-95%,25,2.57,1.33,4.54,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,90-95%,30,4.07,2.42,6.58,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,90-95%,35,5.92,3.80,8.83,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,90-95%,40,8.39,5.65,12.02,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,90-95%,45,11.82,8.40,16.62,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,90-95%,50,16.45,12.04,22.50,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,90-95%,55,22.06,17.14,29.15,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,90-95%,60,28.49,22.83,35.73,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,90-95%,65,34.93,29.29,42.33,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,90-95%,70,40.80,35.06,48.23,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,90-95%,75,45.05,39.53,52.09,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,90-95%,80,47.35,41.82,54.12,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,> 95%,5,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,> 95%,10,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,> 95%,15,0.00,0.00,0.00,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,> 95%,20,1.58,0.59,2.99,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,> 95%,25,3.78,2.05,5.97,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,> 95%,30,5.96,3.63,8.80,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,> 95%,35,8.63,5.64,11.89,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,> 95%,40,12.16,8.43,16.35,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,> 95%,45,16.98,12.28,21.72,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,> 95%,50,23.34,17.27,30.16,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,> 95%,55,31.01,24.10,37.60,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,> 95%,60,39.67,32.55,46.51,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,> 95%,65,48.08,40.79,55.01,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,> 95%,70,55.50,48.45,62.20,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,> 95%,75,60.67,53.92,66.42,,,
Type 2 Diabetes,Norway,Females,HUNT,Age and Sex,> 95%,80,63.39,56.89,68.99,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,< 20%,5,0.00,0.00,0.00,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,< 20%,10,0.00,0.00,0.00,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,< 20%,15,0.00,0.00,0.00,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,< 20%,20,0.30,0.11,0.68,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,< 20%,25,1.02,0.52,1.87,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,< 20%,30,1.91,1.11,3.24,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,< 20%,35,2.72,1.71,4.38,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,< 20%,40,3.53,2.37,5.36,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,< 20%,45,4.47,3.17,6.59,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,< 20%,50,5.64,4.12,7.99,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,< 20%,55,7.11,5.40,9.73,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,< 20%,60,8.87,7.04,11.66,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,< 20%,65,10.79,8.84,13.57,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,< 20%,70,12.73,10.62,15.71,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,< 20%,75,14.20,11.92,17.18,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,< 20%,80,14.84,12.49,17.86,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,20-40%,5,0.00,0.00,0.00,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,20-40%,10,0.00,0.00,0.00,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,20-40%,15,0.00,0.00,0.00,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,20-40%,20,0.53,0.22,1.03,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,20-40%,25,1.78,0.98,2.96,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,20-40%,30,3.30,2.09,5.05,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,20-40%,35,4.70,3.16,6.84,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,20-40%,40,6.08,4.27,8.46,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,20-40%,45,7.67,5.72,10.38,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,20-40%,50,9.64,7.29,12.70,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,20-40%,55,12.10,9.54,15.45,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,20-40%,60,15.05,12.24,18.38,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,20-40%,65,18.27,15.23,21.93,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,20-40%,70,21.48,17.98,25.25,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,20-40%,75,23.92,20.47,27.90,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,20-40%,80,24.96,21.50,29.01,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,40-60%,5,0.00,0.00,0.00,,,
Type 2 Diabetes,United Kingdom,Males,Genomics England,Age and Sex,40-60%,10,0.00,0.00,0.00,,,
